recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,timestamp_dev_responded,developer_response
75720585,schinese,很棒的Rogue类游戏！打通一遍还让人有再玩的欲望~因为貌似剧情并没有结束！很不错！,1599690931,1614465422,True,0,0,0,0,True,False,False,76561198185638050,84,31,1978,1094,1978,1614465327,,
87548331,german,Tolles Spiel.,1614439224,1614439224,True,0,0,0,0,True,False,False,76561197998605010,52,2,1383,4,1383,1614282066,,
87504687,english,"A highly enjoyable rougelike that offers beautiful art and sound, a fairly deep combat system, and tons of replayability. 

It is occasionally repetitive and has some rough edges here or there, but the developers deserve a lot of credit for continuing to push out some pretty substantial and well-designed updates.

If you are a fan of and/or have already played games like Darkest Dungeon, FTL, Into the Breach, Risk of Rain 1/2, or Hades, you will love this game as well (in fact, it's not clear to me why it isn't getting more attention than it currently has, given how solid the game already is).",1614377788,1614377788,True,0,0,0,0,True,False,False,76561198013585331,70,1,3541,0,3541,1612934884,,
87450404,english,"Graphics are great, but I could not find meaningful strategies or tactics.",1614304998,1614304998,False,0,0,0,0,False,False,False,76561198014263355,212,68,189,189,189,1614303047,,
87412756,schinese,"一流的画风、构想和制作
可是他妈的就是不好玩啊
玩了一遍让人毫无再打开的念头",1614255950,1614255950,False,0,0,0,0,True,False,False,76561199030678125,293,24,22,22,22,1614255882,,
87384871,schinese,"优化极差！！！

我玩像素游戏一方面是因为怀念红白机时代，另一方面是因为这类游戏相对而言对电脑配置要求较低。《Dead Cells死亡细胞》《Iconoclasts叛逆机械师》《Cross Code远星物语》《Children of Morta》等像素游戏用老电脑玩得动而且画面都很棒，怎么这个破游戏就那么吃配置？？

能流畅享受那些游戏的老笔记本（4G内存、集成显卡、低端双核CPU），运行本游戏时卡得根本就没法玩！！！

",1614214359,1614214359,False,0,0,0,0,True,False,False,76561198104067453,168,9,30,0,30,1601882846,,
87363280,koreana,"재밌다
다들 쉽다고 하는데 난 왜 못깨껬지?",1614186649,1614186649,True,0,0,0,0,True,False,False,76561198973149518,15,17,881,516,881,1614184767,,
87321193,english,"Take all the boring stuff out of an RPG and add more pink,",1614126267,1614126267,True,0,0,0,0,True,False,False,76561197995589592,375,24,335,335,216,1614476311,,
87312977,english,"Hey, from the Misfit Crew.

It's a fun, enjoyable game that does a lot of stuff very well. It rewards high levels of planning, both in battle sequences and on the 'overworld' map. It's a little unforgiving at times, and you *will* die until you can get used to it.",1614113537,1614113537,True,1,0,0.523809552192687988,0,False,False,False,76561198316497820,177,5,500,1,499,1614113736,,
87275640,english,Outstanding battle system.,1614067848,1614067848,True,0,0,0,0,True,False,False,76561198107459431,20,2,5818,2996,5285,1614457878,,
87193778,english,"I absolutely rec this game as an 8 out of 10. I keep noting small things that bug me (dialogue out of camping sucks, but I feel like theyll patch/improve it) but while thinking that these things bug me, Ill sit there for 4 hours and just grind a run without realizing how much time passed.
",1613949411,1613949411,True,0,0,0,0,True,False,False,76561198042423748,69,4,2133,2133,1296,1614245050,,
87188633,english,pretty solid,1613942197,1613942197,True,0,0,0,0,True,False,False,76561198080959357,173,10,553,1,553,1613685011,,
87141731,schinese,"肉鸽要素不多，每个英雄的成长路线基本是固定的，地图随机性也不强，总体来说像一个普通的回合制冒险；美术风格初见很惊艳，在两个小时过后就变成了全程快进，组合技演出效果也一般。

游戏寿命基本就在十到十五个小时左右，一是因为肉鸽要素少重复游玩的乐趣很少，二是因为打一场下来要很久，玩着很累。总体来说低于期望线。

",1613884714,1613884714,True,0,0,0,0,True,False,False,76561198203206214,76,4,525,242,525,1613486020,,
87127654,koreana,"2회차까지 완료.

이것저것 스까넣긴 했는데, 본질은 슬레이 더 스파이어에 가까움.

전투 위주고, 미리 예측된 전투흐름 안에서 최선의 수를 두기 위해 노력하고, 최적의 루트를 찾고...

이렇게 카드로 덱만드는 시스템은 아니지만 슬더슬느낌 팍팍 남.

일단 뭐 재미는 있다.



한판 플레이타임이 6~7시간은 될 정도로 긴 편인데, 난이도나 신규요소 언락이 엄청 천천히 돼서 갑갑하다.

신규요소야 없어도 굴러는 가는데, 난이도가 보통부터 시작해서 다 깨야 넘어갈 수 있는 방식이라 ㅅㅂ

그나마 승천20단계같이 짜증날정도로 난이도분화가 많진않지만, 8회차까지 해야 마지막 난이도를 볼수있는건 좀..

보스가 고정이고 쫄과 아군의 패턴도 다양하지 않은 편이라 쉽게 물리는 것도 아쉽다.

대신 매판 플레이어블 캐릭터 중 하나가 밴되는데, 5인팟 겜에서 하나 밴 되더라도 크게 플레이가 바뀌진 않아서..



겜 처음 시작하면 오프닝 영상이 (매번!) 나오는데, 영상 내용이 게임스토리와 하나도 상관없는 게 유머.

생긴 거도 영상에선 아니메 그 자첸데 인게임에선 양키센스 40% 첨가된 혼종 일러스트인 것도 유머.",1613864622,1613864622,True,1,0,0.523809552192687988,1,True,False,False,76561198025124478,469,136,946,946,946,1613797705,,
